Model,class,precision,recall,f1_score,support
model1237,4,0.47,0.28,0.35,25
model1238,0,0.98,0.93,0.95,367
model1238,1,0.32,0.44,0.38,27
model1238,2,0.6,0.5,0.55,123
model1238,3,0.23,0.55,0.32,29
model1238,4,0.47,0.28,0.35,25
model1239,0,0.98,0.93,0.95,367
model1239,1,0.32,0.44,0.38,27
model1239,2,0.59,0.64,0.61,123
model1239,3,0.21,0.28,0.24,29
model1239,4,0.47,0.28,0.35,25
model1245,0,0.98,0.93,0.95,367
model1245,1,0.32,0.44,0.38,27
model1245,2,0.55,0.62,0.58,123
model1245,3,0.27,0.24,0.25,29
model1245,4,0.24,0.24,0.24,25
model1246,0,0.98,0.93,0.95,367
model1246,1,0.32,0.44,0.38,27
model1246,2,0.52,0.49,0.5,123
model1246,3,0.26,0.41,0.32,29
model1246,4,0.24,0.24,0.24,25
model1247,0,0.98,0.93,0.95,367
model1247,1,0.32,0.44,0.38,27
model1247,2,0.53,0.63,0.58,123
model1247,3,0.33,0.17,0.23,29
model1247,4,0.24,0.24,0.24,25
model1248,0,0.98,0.93,0.95,367
model1248,1,0.32,0.44,0.38,27
model1248,2,0.59,0.46,0.51,123
model1248,3,0.24,0.55,0.33,29
model1248,4,0.24,0.24,0.24,25
model1249,0,0.98,0.93,0.95,367
model1249,1,0.32,0.44,0.38,27
model1249,2,0.58,0.59,0.58,123
model1249,3,0.21,0.28,0.24,29
model1249,4,0.24,0.24,0.24,25
model1255,0,0.98,0.93,0.95,367
model1255,1,0.32,0.44,0.38,27
model1255,2,0.58,0.65,0.61,123
model1255,3,0.28,0.24,0.26,29
model1255,4,0.33,0.32,0.33,25
model1256,0,0.98,0.93,0.95,367
model1256,1,0.32,0.44,0.38,27
model1256,2,0.54,0.52,0.53,123
model1256,3,0.26,0.41,0.32,29
model1256,4,0.33,0.32,0.33,25
model1257,0,0.98,0.93,0.95,367
model1257,1,0.32,0.44,0.38,27
model1257,2,0.55,0.66,0.6,123
model1257,3,0.31,0.17,0.22,29
model1257,4,0.33,0.32,0.33,25
model1258,0,0.98,0.93,0.95,367
model1258,1,0.32,0.44,0.38,27
model1258,2,0.61,0.48,0.54,123
model1258,3,0.24,0.55,0.33,29
model1258,4,0.33,0.32,0.33,25
model1259,0,0.98,0.93,0.95,367
model1259,1,0.32,0.44,0.38,27
model1259,2,0.6,0.6,0.6,123
model1259,3,0.2,0.28,0.23,29
model1259,4,0.33,0.32,0.33,25
model1325,0,0.98,0.93,0.95,367
model1325,1,0.37,0.41,0.39,27
model1325,2,0.56,0.69,0.62,123
model1325,3,0.32,0.28,0.3,29
model1325,4,0.11,0.08,0.09,25
model1326,0,0.98,0.93,0.95,367
model1326,1,0.37,0.41,0.39,27
model1326,2,0.53,0.54,0.53,123
model1326,3,0.25,0.45,0.32,29
model1326,4,0.11,0.08,0.09,25
model1327,0,0.98,0.93,0.95,367
model1327,1,0.37,0.41,0.39,27
model1327,2,0.54,0.7,0.61,123
model1327,3,0.35,0.21,0.26,29
model1327,4,0.11,0.08,0.09,25
model1328,0,0.98,0.93,0.95,367
model1328,1,0.37,0.41,0.39,27
model1328,2,0.59,0.49,0.53,123
model1328,3,0.22,0.55,0.31,29
model1328,4,0.11,0.08,0.09,25
model1329,0,0.98,0.93,0.95,367
model1329,1,0.37,0.41,0.39,27
model1329,2,0.57,0.62,0.59,123
model1329,3,0.19,0.28,0.22,29
model1329,4,0.11,0.08,0.09,25
model1335,0,0.98,0.93,0.95,367
model1335,1,0.37,0.41,0.39,27
model1335,2,0.59,0.71,0.64,123
model1335,3,0.26,0.24,0.25,29
model1335,4,0.35,0.28,0.31,25
model1336,0,0.98,0.93,0.95,367
model1336,1,0.37,0.41,0.39,27
model1336,2,0.56,0.56,0.56,123
model1336,3,0.23,0.41,0.3,29
model1336,4,0.35,0.28,0.31,25
model1337,0,0.98,0.93,0.95,367
model1337,1,0.37,0.41,0.39,27
model1337,2,0.57,0.73,0.64,123
model1337,3,0.31,0.17,0.22,29
model1337,4,0.35,0.28,0.31,25
model1338,0,0.98,0.93,0.95,367
model1338,1,0.37,0.41,0.39,27
model1338,2,0.61,0.51,0.56,123
model1338,3,0.21,0.52,0.3,29
model1338,4,0.35,0.28,0.31,25
model1339,0,0.98,0.93,0.95,367
model1339,1,0.37,0.41,0.39,27
model1339,2,0.6,0.65,0.62,123
model1339,3,0.17,0.24,0.2,29
model1339,4,0.35,0.28,0.31,25
model1345,0,0.98,0.93,0.95,367
model1345,1,0.37,0.41,0.39,27
model1345,2,0.58,0.67,0.62,123
model1345,3,0.26,0.24,0.25,29
model1345,4,0.25,0.24,0.24,25
model1346,0,0.98,0.93,0.95,367
model1346,1,0.37,0.41,0.39,27
model1346,2,0.54,0.54,0.54,123
model1346,3,0.25,0.41,0.31,29
model1346,4,0.25,0.24,0.24,25
model1347,0,0.98,0.93,0.95,367
model1347,1,0.37,0.41,0.39,27
model1347,2,0.55,0.7,0.62,123
model1347,3,0.33,0.17,0.23,29
model1347,4,0.25,0.24,0.24,25
model1348,0,0.98,0.93,0.95,367
model1348,1,0.37,0.41,0.39,27
model1348,2,0.6,0.48,0.53,123
model1348,3,0.21,0.52,0.3,29
model1348,4,0.25,0.24,0.24,25
model1349,0,0.98,0.93,0.95,367
model1349,1,0.37,0.41,0.39,27
model1349,2,0.59,0.62,0.6,123
model1349,3,0.17,0.24,0.2,29
model1349,4,0.25,0.24,0.24,25
model1355,0,0.98,0.93,0.95,367
model1355,1,0.37,0.41,0.39,27
model1355,2,0.59,0.69,0.64,123
model1355,3,0.27,0.24,0.25,29
model1355,4,0.31,0.32,0.31,25
model1356,0,0.98,0.93,0.95,367
model1356,1,0.37,0.41,0.39,27
model1356,2,0.57,0.56,0.56,123
model1356,3,0.26,0.41,0.32,29
model1356,4,0.31,0.32,0.31,25
model1357,0,0.98,0.93,0.95,367
model1357,1,0.37,0.41,0.39,27
model1357,2,0.57,0.71,0.63,123
model1357,3,0.31,0.17,0.22,29
model1357,4,0.31,0.32,0.31,25
model1358,0,0.98,0.93,0.95,367
model1358,1,0.37,0.41,0.39,27
model1358,2,0.62,0.5,0.55,123
model1358,3,0.21,0.52,0.3,29
model1358,4,0.31,0.32,0.31,25
model1359,0,0.98,0.93,0.95,367
model1359,1,0.37,0.41,0.39,27
model1359,2,0.6,0.62,0.61,123
model1359,3,0.16,0.24,0.19,29
model1359,4,0.31,0.32,0.31,25
model1425,0,0.98,0.93,0.95,367
model1425,1,0.36,0.33,0.35,27
model1425,2,0.57,0.72,0.64,123
model1425,3,0.32,0.28,0.3,29
model1425,4,0.1,0.08,0.09,25
model1426,0,0.98,0.93,0.95,367
model1426,1,0.36,0.33,0.35,27
model1426,2,0.54,0.55,0.55,123
model1426,3,0.25,0.45,0.32,29
model1426,4,0.1,0.08,0.09,25
model1427,0,0.98,0.93,0.95,367
model1427,1,0.36,0.33,0.35,27
model1427,2,0.55,0.72,0.62,123
model1427,3,0.35,0.21,0.26,29
model1427,4,0.1,0.08,0.09,25
model1428,0,0.98,0.93,0.95,367
model1428,1,0.36,0.33,0.35,27
model1428,2,0.6,0.5,0.55,123
model1428,3,0.21,0.55,0.31,29
model1428,4,0.1,0.08,0.09,25
model1429,0,0.98,0.93,0.95,367
model1429,1,0.36,0.33,0.35,27
model1429,2,0.57,0.63,0.6,123
model1429,3,0.18,0.28,0.22,29
model1429,4,0.1,0.08,0.09,25
model1435,0,0.98,0.93,0.95,367
model1435,1,0.36,0.33,0.35,27
model1435,2,0.59,0.72,0.65,123
model1435,3,0.25,0.24,0.25,29
model1435,4,0.35,0.28,0.31,25
model1436,0,0.98,0.93,0.95,367
model1436,1,0.36,0.33,0.35,27
model1436,2,0.56,0.57,0.56,123
model1436,3,0.22,0.41,0.29,29
model1436,4,0.35,0.28,0.31,25
model1437,0,0.98,0.93,0.95,367
model1437,1,0.36,0.33,0.35,27
model1437,2,0.56,0.75,0.64,123
model1437,3,0.31,0.17,0.22,29
model1437,4,0.35,0.28,0.31,25
model1438,0,0.98,0.93,0.95,367
model1438,1,0.36,0.33,0.35,27
model1438,2,0.61,0.52,0.56,123
model1438,3,0.21,0.55,0.31,29
model1438,4,0.35,0.28,0.31,25
model1439,0,0.98,0.93,0.95,367
model1439,1,0.36,0.33,0.35,27
model1439,2,0.59,0.65,0.62,123
model1439,3,0.18,0.28,0.22,29
model1439,4,0.35,0.28,0.31,25
model1445,0,0.98,0.93,0.95,367
model1445,1,0.36,0.33,0.35,27
model1445,2,0.57,0.69,0.63,123
model1445,3,0.26,0.24,0.25,29
model1445,4,0.24,0.24,0.24,25
model1446,0,0.98,0.93,0.95,367
model1446,1,0.36,0.33,0.35,27
model1446,2,0.54,0.55,0.55,123
model1446,3,0.24,0.41,0.31,29
model1446,4,0.24,0.24,0.24,25
model1447,0,0.98,0.93,0.95,367
model1447,1,0.36,0.33,0.35,27
model1447,2,0.55,0.72,0.62,123
model1447,3,0.33,0.17,0.23,29
model1447,4,0.24,0.24,0.24,25
model1448,0,0.98,0.93,0.95,367
model1448,1,0.36,0.33,0.35,27
model1448,2,0.59,0.49,0.54,123
model1448,3,0.22,0.55,0.31,29
model1448,4,0.24,0.24,0.24,25
model1449,0,0.98,0.93,0.95,367
model1449,1,0.36,0.33,0.35,27
model1449,2,0.58,0.62,0.6,123
model1449,3,0.18,0.28,0.22,29
model1449,4,0.24,0.24,0.24,25
model1455,0,0.98,0.93,0.95,367
model1455,1,0.36,0.33,0.35,27
model1455,2,0.6,0.72,0.65,123
model1455,3,0.26,0.24,0.25,29
model1455,4,0.33,0.32,0.33,25
model1456,0,0.98,0.93,0.95,367
model1456,1,0.36,0.33,0.35,27
model1456,2,0.57,0.59,0.58,123
model1456,3,0.24,0.41,0.31,29
model1456,4,0.33,0.32,0.33,25
model1457,0,0.98,0.93,0.95,367
model1457,1,0.36,0.33,0.35,27
model1457,2,0.57,0.74,0.64,123
model1457,3,0.31,0.17,0.22,29
model1457,4,0.33,0.32,0.33,25
model1458,0,0.98,0.93,0.95,367
model1458,1,0.36,0.33,0.35,27
model1458,2,0.62,0.52,0.57,123
model1458,3,0.22,0.55,0.31,29
model1458,4,0.33,0.32,0.33,25
model1459,0,0.98,0.93,0.95,367
model1459,1,0.36,0.33,0.35,27
model1459,2,0.6,0.63,0.62,123
model1459,3,0.17,0.28,0.21,29
model1459,4,0.33,0.32,0.33,25
model1525,0,0.98,0.93,0.95,367
model1525,1,0.18,0.37,0.24,27
model1525,2,0.58,0.61,0.6,123
model1525,3,0.29,0.21,0.24,29
model1525,4,0.05,0.04,0.05,25
model1526,0,0.98,0.93,0.95,367
model1526,1,0.18,0.37,0.24,27
model1526,2,0.55,0.46,0.5,123
model1526,3,0.22,0.38,0.28,29
model1526,4,0.05,0.04,0.05,25
model1527,0,0.98,0.93,0.95,367
model1527,1,0.18,0.37,0.24,27
model1527,2,0.56,0.61,0.58,123
model1527,3,0.4,0.21,0.27,29
model1527,4,0.05,0.04,0.05,25
model1528,0,0.98,0.93,0.95,367
model1528,1,0.18,0.37,0.24,27
model1528,2,0.61,0.44,0.51,123
model1528,3,0.2,0.41,0.27,29
model1528,4,0.05,0.04,0.05,25
model1529,0,0.98,0.93,0.95,367
model1529,1,0.18,0.37,0.24,27
model1529,2,0.61,0.55,0.58,123
model1529,3,0.21,0.28,0.24,29
model1529,4,0.05,0.04,0.05,25
model1535,0,0.98,0.93,0.95,367
model1535,1,0.18,0.37,0.24,27
model1535,2,0.61,0.64,0.62,123
model1535,3,0.21,0.17,0.19,29
model1535,4,0.4,0.24,0.3,25
model1536,0,0.98,0.93,0.95,367
model1536,1,0.18,0.37,0.24,27
model1536,2,0.59,0.5,0.54,123
model1536,3,0.2,0.34,0.25,29
model1536,4,0.4,0.24,0.3,25
model1537,0,0.98,0.93,0.95,367
model1537,1,0.18,0.37,0.24,27
model1537,2,0.58,0.66,0.62,123
model1537,3,0.36,0.17,0.23,29
model1537,4,0.4,0.24,0.3,25
model1538,0,0.98,0.93,0.95,367
model1538,1,0.18,0.37,0.24,27
model1538,2,0.62,0.47,0.54,123
model1538,3,0.18,0.38,0.24,29
model1538,4,0.4,0.24,0.3,25
model1539,0,0.98,0.93,0.95,367
model1539,1,0.18,0.37,0.24,27
model1539,2,0.63,0.59,0.61,123
model1539,3,0.18,0.24,0.21,29
model1539,4,0.4,0.24,0.3,25
model1545,0,0.98,0.93,0.95,367
model1545,1,0.18,0.37,0.24,27
model1545,2,0.59,0.6,0.6,123
model1545,3,0.22,0.17,0.19,29
model1545,4,0.24,0.2,0.22,25
model1546,0,0.98,0.93,0.95,367
model1546,1,0.18,0.37,0.24,27
model1546,2,0.56,0.47,0.51,123
model1546,3,0.22,0.34,0.27,29
model1546,4,0.24,0.2,0.22,25
model1547,0,0.98,0.93,0.95,367
model1547,1,0.18,0.37,0.24,27
model1547,2,0.56,0.62,0.59,123
model1547,3,0.38,0.17,0.24,29
model1547,4,0.24,0.2,0.22,25
model1548,0,0.98,0.93,0.95,367
model1548,1,0.18,0.37,0.24,27
model1548,2,0.6,0.44,0.51,123
model1548,3,0.19,0.38,0.25,29
model1548,4,0.24,0.2,0.22,25
model1549,0,0.98,0.93,0.95,367
model1549,1,0.18,0.37,0.24,27
model1549,2,0.63,0.56,0.59,123
model1549,3,0.18,0.24,0.21,29
model1549,4,0.24,0.2,0.22,25
model1555,0,0.98,0.93,0.95,367
model1555,1,0.18,0.37,0.24,27
model1555,2,0.61,0.61,0.61,123
model1555,3,0.22,0.17,0.19,29
model1555,4,0.29,0.28,0.29,25
model1556,0,0.98,0.93,0.95,367
model1556,1,0.18,0.37,0.24,27
model1556,2,0.59,0.48,0.53,123
model1556,3,0.22,0.34,0.27,29
model1556,4,0.29,0.28,0.29,25
model1557,0,0.98,0.93,0.95,367
model1557,1,0.18,0.37,0.24,27
model1557,2,0.58,0.62,0.6,123
model1557,3,0.36,0.17,0.23,29
model1557,4,0.29,0.28,0.29,25
model1558,0,0.98,0.93,0.95,367
model1558,1,0.18,0.37,0.24,27
model1558,2,0.62,0.45,0.52,123
model1558,3,0.19,0.38,0.26,29
model1558,4,0.29,0.28,0.29,25
model1559,0,0.98,0.93,0.95,367
model1559,1,0.18,0.37,0.24,27
model1559,2,0.65,0.55,0.6,123
model1559,3,0.17,0.24,0.2,29
model1559,4,0.29,0.28,0.29,25
model1625,0,0.98,0.93,0.95,367
model1625,1,0.24,0.48,0.32,27
model1625,2,0.57,0.6,0.58,123
model1625,3,0.29,0.21,0.24,29
model1625,4,0.05,0.04,0.05,25
model1626,0,0.98,0.93,0.95,367
model1626,1,0.24,0.48,0.32,27
model1626,2,0.55,0.46,0.5,123
model1626,3,0.22,0.38,0.28,29
model1626,4,0.05,0.04,0.05,25
model1627,0,0.98,0.93,0.95,367
model1627,1,0.24,0.48,0.32,27
model1627,2,0.55,0.62,0.58,123
model1627,3,0.46,0.21,0.29,29
model1627,4,0.05,0.04,0.05,25
model1628,0,0.98,0.93,0.95,367
model1628,1,0.24,0.48,0.32,27
model1628,2,0.61,0.46,0.52,123
model1628,3,0.2,0.41,0.27,29
model1628,4,0.05,0.04,0.05,25
model1629,0,0.98,0.93,0.95,367
model1629,1,0.24,0.48,0.32,27
model1629,2,0.6,0.55,0.58,123
model1629,3,0.21,0.28,0.24,29
model1629,4,0.05,0.04,0.05,25
model1635,0,0.98,0.93,0.95,367
model1635,1,0.24,0.48,0.32,27
model1635,2,0.59,0.63,0.61,123
model1635,3,0.22,0.17,0.19,29
model1635,4,0.4,0.24,0.3,25
model1636,0,0.98,0.93,0.95,367
model1636,1,0.24,0.48,0.32,27
model1636,2,0.58,0.5,0.53,123
model1636,3,0.2,0.34,0.26,29
model1636,4,0.4,0.24,0.3,25
model1637,0,0.98,0.93,0.95,367
model1637,1,0.24,0.48,0.32,27
model1637,2,0.57,0.67,0.62,123
model1637,3,0.42,0.17,0.24,29
model1637,4,0.4,0.24,0.3,25
model1638,0,0.98,0.93,0.95,367
model1638,1,0.24,0.48,0.32,27
model1638,2,0.62,0.49,0.55,123
model1638,3,0.2,0.41,0.27,29
model1638,4,0.4,0.24,0.3,25
model1639,0,0.98,0.93,0.95,367
model1639,1,0.24,0.48,0.32,27
model1639,2,0.62,0.59,0.61,123
model1639,3,0.21,0.28,0.24,29
model1639,4,0.4,0.24,0.3,25
model1645,0,0.98,0.93,0.95,367
model1645,1,0.24,0.48,0.32,27
model1645,2,0.58,0.59,0.58,123
model1645,3,0.22,0.17,0.19,29
model1645,4,0.23,0.2,0.21,25
model1646,0,0.98,0.93,0.95,367
model1646,1,0.24,0.48,0.32,27
model1646,2,0.56,0.47,0.51,123
model1646,3,0.23,0.34,0.27,29
model1646,4,0.23,0.2,0.21,25
model1647,0,0.98,0.93,0.95,367
model1647,1,0.24,0.48,0.32,27
model1647,2,0.55,0.62,0.58,123
model1647,3,0.45,0.17,0.25,29
model1647,4,0.23,0.2,0.21,25
model1648,0,0.98,0.93,0.95,367
model1648,1,0.24,0.48,0.32,27
model1648,2,0.6,0.45,0.51,123
model1648,3,0.21,0.41,0.28,29
model1648,4,0.23,0.2,0.21,25
model1649,0,0.98,0.93,0.95,367
model1649,1,0.24,0.48,0.32,27
model1649,2,0.62,0.55,0.58,123
model1649,3,0.21,0.28,0.24,29
model1649,4,0.23,0.2,0.21,25
model1655,0,0.98,0.93,0.95,367
model1655,1,0.24,0.48,0.32,27
model1655,2,0.6,0.6,0.6,123
model1655,3,0.23,0.17,0.2,29
model1655,4,0.29,0.28,0.29,25
model1656,0,0.98,0.93,0.95,367
model1656,1,0.24,0.48,0.32,27
model1656,2,0.58,0.48,0.52,123
model1656,3,0.23,0.34,0.27,29
model1656,4,0.29,0.28,0.29,25
model1657,0,0.98,0.93,0.95,367
model1657,1,0.24,0.48,0.32,27
model1657,2,0.57,0.63,0.6,123
model1657,3,0.42,0.17,0.24,29
model1657,4,0.29,0.28,0.29,25
model1658,0,0.98,0.93,0.95,367
model1658,1,0.24,0.48,0.32,27
model1658,2,0.63,0.46,0.53,123
model1658,3,0.22,0.41,0.29,29
model1658,4,0.29,0.28,0.29,25
model1659,0,0.98,0.93,0.95,367
model1659,1,0.24,0.48,0.32,27
model1659,2,0.64,0.55,0.59,123
model1659,3,0.21,0.28,0.24,29
model1659,4,0.29,0.28,0.29,25
model1725,0,0.98,0.93,0.95,367
model1725,1,0.15,0.81,0.25,27
model1725,2,0.43,0.2,0.28,123
model1725,3,0.21,0.1,0.14,29
model1725,4,0,0,0,25
model1726,0,0.98,0.93,0.95,367
model1726,1,0.15,0.81,0.25,27
model1726,2,0.42,0.15,0.22,123
model1726,3,0.24,0.24,0.24,29
model1726,4,0,0,0,25
model1727,0,0.98,0.93,0.95,367
model1727,1,0.15,0.81,0.25,27
model1727,2,0.42,0.21,0.28,123
model1727,3,0.4,0.14,0.21,29
model1727,4,0,0,0,25
model1728,0,0.98,0.93,0.95,367
model1728,1,0.15,0.81,0.25,27
model1728,2,0.48,0.12,0.19,123
model1728,3,0.2,0.28,0.23,29
model1728,4,0,0,0,25
model1729,0,0.98,0.93,0.95,367
model1729,1,0.15,0.81,0.25,27
model1729,2,0.47,0.17,0.25,123
model1729,3,0.19,0.17,0.18,29
model1729,4,0,0,0,25
model1735,0,0.98,0.93,0.95,367
model1735,1,0.15,0.81,0.25,27
model1735,2,0.47,0.22,0.3,123
model1735,3,0.14,0.07,0.09,29
model1735,4,0.57,0.16,0.25,25
model1736,0,0.98,0.93,0.95,367
model1736,1,0.15,0.81,0.25,27
model1736,2,0.48,0.17,0.25,123
model1736,3,0.21,0.21,0.21,29
model1736,4,0.57,0.16,0.25,25
model1737,0,0.98,0.93,0.95,367
model1737,1,0.15,0.81,0.25,27
model1737,2,0.46,0.24,0.31,123
model1737,3,0.33,0.1,0.16,29
model1737,4,0.57,0.16,0.25,25
model1738,0,0.98,0.93,0.95,367
model1738,1,0.15,0.81,0.25,27
model1738,2,0.53,0.15,0.23,123
model1738,3,0.21,0.28,0.24,29
model1738,4,0.57,0.16,0.25,25
model1739,0,0.98,0.93,0.95,367
model1739,1,0.15,0.81,0.25,27
model1739,2,0.51,0.2,0.28,123
model1739,3,0.2,0.17,0.19,29
model1739,4,0.57,0.16,0.25,25
model1745,0,0.98,0.93,0.95,367
model1745,1,0.15,0.81,0.25,27
model1745,2,0.44,0.2,0.27,123
model1745,3,0.15,0.07,0.1,29
model1745,4,0.27,0.12,0.17,25
model1746,0,0.98,0.93,0.95,367
model1746,1,0.15,0.81,0.25,27
model1746,2,0.43,0.15,0.22,123
model1746,3,0.23,0.21,0.22,29
model1746,4,0.27,0.12,0.17,25
model1747,0,0.98,0.93,0.95,367
model1747,1,0.15,0.81,0.25,27
model1747,2,0.43,0.21,0.28,123
model1747,3,0.38,0.1,0.16,29
model1747,4,0.27,0.12,0.17,25
model1748,0,0.98,0.93,0.95,367
model1748,1,0.15,0.81,0.25,27
model1748,2,0.48,0.11,0.18,123
model1748,3,0.21,0.28,0.24,29
model1748,4,0.27,0.12,0.17,25
model1749,0,0.98,0.93,0.95,367
model1749,1,0.15,0.81,0.25,27
model1749,2,0.49,0.16,0.24,123
